DateTime,1RV-O-T,2AX-O-T,2RV-O-T,3RV-O-T,6RV-O-T,7RV-O-T,8RV-O-T
2026-05-08 23:42:00,0.3023,0.51318,0.39764,1.0109,1.34599,0.16713,1.19424
2026-05-09 00:42:00,0.30929,0.56414,0.43611,1.02324,1.35541,0.15756,1.22399
2026-05-09 01:42:00,0.31346,0.58549,0.48088,1.02424,1.36067,0.13734,1.17117
2026-05-09 02:42:00,0.31191,0.57011,0.45123,1.01496,1.3397,0.13345,1.14139
2026-05-09 03:42:00,0.30984,0.57534,0.43744,1.03455,1.3679,0.14114,1.2064
2026-05-09 04:42:00,0.31026,0.5436,0.43282,1.02572,1.36907,0.15793,1.17054
2026-05-09 05:42:00,0.30228,0.45138,0.388,1.02482,1.39916,0.14942,1.1204
2026-05-09 06:42:00,0.30316,0.43989,0.37847,1.01993,1.35712,0.19546,1.17332
2026-05-09 07:42:00,0.30618,0.4449,0.38588,0.99872,1.40523,0.16721,1.21704
2026-05-09 08:42:00,0.30409,0.42605,0.36704,1.02799,1.4109,0.18476,1.18336
2026-05-09 09:42:00,0.30029,0.44302,0.37205,1.04174,1.39338,0.18258,1.10322
2026-05-09 10:42:00,0.30877,0.44021,0.37007,1.02999,1.37657,0.23368,1.1865
2026-05-09 11:42:00,0.29438,0.44302,0.35996,1.03459,1.42586,0.1737,1.13772
2026-05-09 12:42:00,0.30228,0.48751,0.38262,1.05239,1.40229,0.12864,1.08987
2026-05-09 13:42:00,0.30627,0.44153,0.36085,1.03516,1.4069,0.13836,1.31952
2026-05-09 14:42:00,0.30163,0.45375,0.36202,1.03016,1.35912,0.18755,1.13464
2026-05-09 15:42:00,0.29951,0.45011,0.35972,1.04501,1.40034,0.12857,1.14578
2026-05-09 16:42:00,0.29886,0.48951,0.37461,1.05177,1.3773,0.12245,1.04986
2026-05-09 17:42:00,0.30321,0.51368,0.40145,1.04326,1.43186,0.12938,1.18405
2026-05-09 18:42:00,0.30671,0.49556,0.40864,1.04708,1.39301,0.13213,1.24222
2026-05-09 19:42:00,0.30087,0.43321,0.38123,1.04099,1.36476,0.118,1.09589
2026-05-09 20:42:00,0.30209,0.49597,0.41785,1.04231,1.37143,0.12167,1.26028
2026-05-09 21:42:00,0.29584,0.474,0.37934,1.01825,1.38365,0.11537,1.11805
2026-05-09 22:42:00,0.29672,0.50705,0.40129,1.02682,1.37062,0.11954,1.16929
2026-05-09 23:42:00,0.29744,0.5757,0.45827,1.03204,1.38199,0.12005,1.11881
2026-05-10 00:42:00,0.30067,0.54749,0.43012,1.00606,1.37018,0.11974,1.14768
2026-05-10 01:42:00,0.29771,0.51133,0.43142,1.00294,1.35262,0.12438,1.31861
2026-05-10 02:42:00,0.30153,0.54515,0.43657,1.02913,1.40104,0.1204,1.14206
2026-05-10 03:42:00,0.30262,0.59034,0.48924,1.00739,1.37177,0.11674,1.09427
2026-05-10 04:42:00,0.29792,0.49034,0.42019,1.01821,1.34991,0.11969,1.14739
2026-05-10 05:42:00,0.30496,0.52473,0.41722,1.01854,1.37373,0.11754,1.18391
2026-05-10 06:42:00,0.30883,0.60513,0.47244,0.99456,1.34551,0.12927,1.15163
2026-05-10 07:42:00,0.3121,0.62048,0.49164,1.01765,1.37861,0.13091,1.28698
2026-05-10 08:42:00,0.31139,0.58744,0.44372,0.9975,1.33501,0.12834,1.18009
2026-05-10 09:42:00,0.30876,0.5272,0.40689,1.00753,1.37274,0.12869,1.32066
2026-05-10 10:42:00,0.30747,0.55258,0.40855,1.01435,1.34684,0.12461,1.19095
2026-05-10 11:42:00,0.30885,0.60451,0.44469,1.02917,1.34199,0.12521,1.16318
2026-05-10 12:42:00,0.31538,0.55446,0.44409,1.03326,1.38827,0.12208,1.10638
2026-05-10 13:42:00,0.31318,0.59852,0.42513,1.03476,1.41993,0.13474,1.28492
2026-05-10 14:42:00,0.31627,0.55445,0.4401,1.01325,1.35252,0.12988,1.11221
2026-05-10 15:42:00,0.30422,0.54184,0.40647,1.02726,1.39115,0.12226,1.04615
2026-05-10 16:42:00,0.31439,0.54588,0.39921,1.03328,1.39758,0.11686,1.09867
2026-05-10 17:42:00,0.32009,0.64141,0.48695,1.02945,1.3832,0.1258,1.18485
2026-05-10 18:42:00,0.32367,0.63117,0.47504,1.01014,1.38743,0.12444,1.10915
2026-05-10 19:42:00,0.30691,0.56699,0.47221,1.02528,1.38177,0.12255,1.18046
2026-05-10 20:42:00,0.30481,0.60476,0.47469,1.01462,1.32887,0.12298,1.15765
2026-05-10 21:42:00,0.30683,0.63479,0.48645,1.0173,1.3669,0.12427,1.09618
2026-05-10 22:42:00,0.30308,0.62231,0.4951,1.02,1.36963,0.12005,1.1113
2026-05-10 23:42:00,0.30234,0.68024,0.55826,1.03896,1.3546,0.11899,1.12234
2026-05-11 00:42:00,0.30635,0.65523,0.50492,1.00456,1.3565,0.12295,1.13792
2026-05-11 01:42:00,0.30886,0.66516,0.5099,1.02445,1.36536,0.12333,1.09271
2026-05-11 02:42:00,0.31552,0.71385,0.56932,1.0148,1.33897,0.12586,1.15016
2026-05-11 03:42:00,0.3031,0.63084,0.52761,1.01646,1.34204,0.13085,1.19847
2026-05-11 04:42:00,0.30448,0.70395,0.53509,1.00954,1.34695,0.12971,1.06555
2026-05-11 05:42:00,0.31214,0.75796,0.55337,1.01772,1.35525,0.12977,1.29872
2026-05-11 06:42:00,0.33331,0.78845,0.63597,1.00593,1.38412,0.12504,1.14478
2026-05-11 07:42:00,0.32442,0.81634,0.62069,0.99409,1.31385,0.12382,1.15123
2026-05-11 08:42:00,0.33455,0.91342,0.59706,1.01782,1.38313,0.12559,1.17081
2026-05-11 09:42:00,0.31255,0.80603,0.49939,1.00732,1.34735,0.12841,1.09521
2026-05-11 10:42:00,0.31755,0.73923,0.4972,1.02122,1.38459,0.12552,1.14873
2026-05-11 11:42:00,0.30487,0.63126,0.43422,1.00996,1.31225,0.11862,1.08566
2026-05-11 12:42:00,0.30308,0.51881,0.40089,1.01057,1.36744,0.12057,1.0533
2026-05-11 13:42:00,0.3061,0.57726,0.41283,1.02387,1.38699,0.12698,1.14838
2026-05-11 14:42:00,0.30687,0.54972,0.41476,1.01293,1.34674,0.11803,1.11082
2026-05-11 15:42:00,0.30259,0.56365,0.42439,1.0159,1.36819,0.11728,1.05201
2026-05-11 16:42:00,0.30951,0.56982,0.42169,1.01554,1.33542,0.21227,1.15329
2026-05-11 17:42:00,0.30329,0.59262,0.42428,1.01883,1.3357,0.22494,1.06966
2026-05-11 18:42:00,0.30535,0.54635,0.44584,0.99926,1.35718,0.13419,1.22632
2026-05-11 19:42:00,0.30511,0.56612,0.44776,1.02111,1.38504,0.15221,1.29143
2026-05-11 20:42:00,0.30022,0.53084,0.449,1.01762,1.35525,0.14055,1.08175
2026-05-11 21:42:00,0.30201,0.56218,0.45945,1.00307,1.35398,0.12455,1.20425
2026-05-11 22:42:00,0.30771,0.59847,0.4584,0.99176,1.3297,0.1202,1.20701
2026-05-11 23:42:00,0.3069,0.65803,0.47364,1.01683,1.35358,0.12128,1.10241
2026-05-12 00:42:00,0.30626,0.68866,0.51712,1.0139,1.3599,0.12356,1.1404
2026-05-12 01:42:00,0.31803,0.76271,0.60383,1.01765,1.35331,0.12862,1.16702
2026-05-12 02:42:00,0.32443,0.78159,0.59632,1.0215,1.37793,0.13331,1.31151
2026-05-12 03:42:00,0.33198,0.87876,0.64901,1.02113,1.32898,0.12779,1.20099
2026-05-12 04:42:00,0.32798,0.68555,0.5843,1.00406,1.37262,0.1311,1.19493
2026-05-12 05:42:00,0.33209,0.81123,0.59379,1.01405,1.36103,0.13254,1.24988
2026-05-12 06:42:00,0.33464,0.79545,0.62908,0.98121,1.34827,0.14061,1.30882
2026-05-12 07:42:00,0.3303,0.72614,0.61641,1.00021,1.35524,0.13783,1.29269
2026-05-12 08:42:00,0.3319,0.73157,0.59031,1.0239,1.36637,0.13394,1.21606
2026-05-12 09:42:00,0.31891,0.64592,0.49918,1.02223,1.38947,0.13409,1.27516
2026-05-12 10:42:00,0.31263,0.54109,0.44695,1.02935,1.40099,0.1407,1.09204
2026-05-12 11:42:00,0.32061,0.60068,0.45677,1.02275,1.40296,0.12917,1.20366
2026-05-12 12:42:00,0.32086,0.62937,0.47061,1.00947,1.38268,0.12094,1.0631
2026-05-12 13:42:00,0.3132,0.6467,0.46948,1.02797,1.3799,0.12877,1.23962
2026-05-12 14:42:00,0.32104,0.62383,0.45875,1.03339,1.41946,0.12845,1.23126
2026-05-12 15:42:00,0.33311,0.6924,0.51422,1.0065,1.37787,0.12762,1.22214
2026-05-12 16:42:00,0.32502,0.65778,0.47469,1.02801,1.39459,0.22452,1.16569
2026-05-12 17:42:00,0.32557,0.71117,0.52652,1.01429,1.35597,0.13066,1.25909
2026-05-12 18:42:00,0.32578,0.70429,0.50279,1.01814,1.3554,0.12212,1.17089
